timestamp,pitch,yaw,roll,lat,lon,alt,velocity_x,velocity_y,velocity_z,battery,heading,airspeed,groundspeed
0,-0.0067791505716741085,-0.04313178360462189,-0.024939149618148804,36.7156065,3.18463,21.73,-0.02,0.01,-0.06,96,357,0.0751199945807457,0.029574189335107803
1,-0.03901517018675804,-0.021003589034080505,0.09821588546037674,36.7156082,3.1846328,21.69,0.39,0.61,-0.03,95,358,0.7334012985229492,0.7324198484420776
2,-0.21655964851379395,1.476016640663147,-0.08255162835121155,36.7156214,3.1846576,21.72,1.62,2.44,-0.04,95,84,2.9420900344848633,2.9417502880096436
3,-0.17691943049430847,0.9200340509414673,0.00674415472894907,36.7156541,3.1847175,21.74,2.24,3.33,-0.01,95,52,4.023978233337402,4.02393913269043
4,0.10920153558254242,0.948029100894928,0.009597625583410263,36.7156835,3.1847709,21.74,1.8,2.61,0.0,94,54,3.17671799659729,3.176713705062866
5,0.2899136543273926,0.6741460561752319,-0.06205427274107933,36.715691,3.1847827,21.76,-1.17,-1.76,-0.01,94,38,2.124028205871582,2.123988628387451
6,-0.06096475571393967,-1.1110750436782837,-0.16834807395935059,36.7156661,3.184737,21.73,-2.23,-3.26,0.01,93,296,3.957975149154663,3.9579358100891113
7,-0.07090500742197037,-2.4328792095184326,0.1028161570429802,36.7156356,3.1846813,21.79,-2.09,-3.26,0.0,93,220,3.876304864883423,3.876293897628784
8,-0.1517341136932373,-1.3294135332107544,0.268128365278244,36.7156213,3.18462,21.73,0.79,-2.77,0.01,93,283,2.8825535774230957,2.8825020790100098
9,-0.39685356616973877,-0.656006395816803,0.07110220938920975,36.7156581,3.1845704,21.73,4.51,-3.34,0.0,92,322,5.615596771240234,5.61559534072876
10,-0.545823335647583,-0.6282277703285217,0.013131215237081051,36.7157526,3.1844879,21.74,7.22,-4.98,0.0,92,324,8.772622108459473,8.772619247436523
11,-0.479596346616745,-0.6201364994049072,0.023849984630942345,36.7158561,3.1843978,21.75,7.84,-5.53,0.0,91,324,9.601288795471191,9.601288795471191
12,-0.33042433857917786,-0.6238634586334229,-0.016221482306718826,36.7159617,3.1843042,21.78,7.4,-5.27,-0.02,91,324,9.09591007232666,9.095873832702637
13,-0.01935214176774025,-0.6401370763778687,-0.02813549153506756,36.7160608,3.1842159,21.79,4.73,-3.53,0.04,91,323,5.915014743804932,5.914866924285889
14,-0.048583295196294785,-1.357549786567688,-0.31534868478775024,36.7160992,3.184164,21.97,0.59,-2.92,-0.32,90,282,3.0005650520324707,2.9833316802978516
15,-0.40944379568099976,-2.148528575897217,-0.011571063660085201,36.716073,3.1840908,23.21,-3.52,-4.96,-1.05,90,236,6.1853485107421875,6.094658851623535
16,-0.4666837453842163,-2.1589112281799316,-0.034392762929201126,36.716013,3.1839851,25.22,-5.03,-7.27,-1.5,89,236,8.974103927612305,8.847247123718262
17,-0.4767150580883026,-2.1677093505859375,0.042080432176589966,36.7159273,3.1838309,28.05,-5.56,-8.07,-1.59,89,235,9.935070991516113,9.806154251098633
18,-0.42751234769821167,-2.1652228832244873,0.02882084622979164,36.7158519,3.1836923,30.5,-5.54,-8.24,-1.58,88,235,10.06222915649414,9.936102867126465
19,-0.44597327709198,-2.1642165184020996,-0.02524067647755146,36.7157771,3.1835533,32.97,-5.52,-8.23,-1.58,88,236,10.042423248291016,9.916126251220703
20,-0.4820871949195862,-2.166447401046753,0.03693351149559021,36.7156897,3.1833905,35.86,-5.48,-8.23,-1.6,87,235,10.027780532836914,9.899032592773438
21,-0.4288259744644165,-2.164665937423706,0.030860645696520805,36.7156149,3.1832508,38.34,-5.53,-8.27,-1.62,87,235,10.0839262008667,9.95248031616211
22,-0.42999857664108276,-2.1658310890197754,-0.01247608195990324,36.7155402,3.1831112,40.84,-5.51,-8.28,-1.62,87,235,10.08492374420166,9.953471183776855
23,-0.49249035120010376,-2.164651870727539,0.028208985924720764,36.7154535,3.182949,43.75,-5.52,-8.33,-1.62,86,235,10.126927375793457,9.995917320251465
24,-0.43388649821281433,-2.165581464767456,0.03397851064801216,36.7153783,3.1828086,46.25,-5.51,-8.28,-1.63,86,235,10.088849067687988,9.955116271972656
25,-0.4713427722454071,-2.166414499282837,-0.020607274025678635,36.715291,3.1826453,49.18,-5.49,-8.28,-1.63,85,235,10.07426929473877,9.941328048706055
26,-0.48549437522888184,-2.1635024547576904,0.0015578065067529678,36.7152166,3.1825057,51.68,-5.52,-8.31,-1.63,85,236,10.11495304107666,9.981910705566406
27,-0.4253292381763458,-2.165308952331543,0.0007931084255687892,36.7151292,3.1823425,54.6,-5.53,-8.31,-1.64,84,235,10.123222351074219,9.989078521728516
28,-0.44174957275390625,-2.164262533187866,-0.03595574572682381,36.7150545,3.1822028,57.11,-5.48,-8.21,-1.62,84,236,10.007838249206543,9.875213623046875
29,-0.23516350984573364,-2.168482542037964,0.027150345966219902,36.7149846,3.1820732,59.45,-4.57,-6.81,-1.36,83,235,8.317706108093262,8.205004692077637
30,-0.06066194921731949,-2.1541101932525635,-0.010074611753225327,36.714928,3.1819665,61.2,-2.74,-4.25,-0.57,83,236,5.091123580932617,5.058135986328125
