timestamp,pitch,yaw,roll,lat,lon,alt,velocity_x,velocity_y,velocity_z,battery,heading,airspeed,groundspeed
0,-0.013758663088083267,-0.009281077422201633,-0.014736621640622616,36.7156066,3.18463,29.9,-0.01,0.02,-0.2,96,359,0.20879453420639038,0.030067583546042442
1,0.004577570129185915,-0.003064758377149701,0.13351505994796753,36.7156071,3.1846329,29.93,0.12,0.66,-0.08,95,359,0.6783643960952759,0.6725066304206848
2,-0.23250770568847656,1.8774175643920898,-0.10833365470170975,36.7156134,3.1846687,30.02,0.76,3.31,-0.09,95,107,3.404348611831665,3.4030325412750244
3,-0.23237930238246918,1.1642686128616333,0.008376075886189938,36.7156265,3.1847378,29.95,1.07,4.63,0.0,94,66,4.758257865905762,4.758249282836914
4,-0.10708373785018921,1.3090509176254272,0.032813575118780136,36.7156417,3.1848175,29.92,1.07,4.57,0.0,94,75,4.699395656585693,4.6993913650512695
5,0.2765788733959198,1.62509286403656,0.17818671464920044,36.7156525,3.1848832,29.9,-0.17,1.16,-0.04,94,93,1.1813708543777466,1.180645227432251
6,-0.13231238722801208,-2.971883535385132,0.1808921992778778,36.7156372,3.1848659,29.92,-1.98,-2.79,0.0,93,189,3.426884412765503,3.426870584487915
7,-0.10702869296073914,-2.0908844470977783,0.0031100406777113676,36.7156025,3.1848011,29.91,-2.28,-3.33,-0.07,93,240,4.045976638793945,4.0453009605407715
8,-0.05698340758681297,-1.8979474306106567,0.14137297868728638,36.7155775,3.1847455,29.91,-1.07,-3.13,0.04,93,251,3.316589117050171,3.316335916519165
9,-0.30433428287506104,-0.7420223951339722,0.13789933919906616,36.7155855,3.1846963,29.89,2.54,-2.83,0.0,92,317,3.8146555423736572,3.814655065536499
10,-0.5087174773216248,-0.6115656495094299,0.03340720385313034,36.7156565,3.1846287,29.89,6.18,-4.33,0.0,92,324,7.552011489868164,7.552011013031006
11,-0.482674777507782,-0.6155126690864563,8.587809861637652e-05,36.7157517,3.1845463,29.91,7.68,-5.35,0.0,91,324,9.367483139038086,9.36748218536377
12,-0.4627145230770111,-0.6205165386199951,-0.03762616589665413,36.7158578,3.184453,29.92,7.85,-5.59,0.0,91,324,9.642173767089844,9.642172813415527
13,-0.1594391167163849,-0.624335765838623,0.022607624530792236,36.7159737,3.18435,29.97,6.33,-4.52,0.01,91,324,7.781783580780029,7.781766414642334
14,0.05608762055635452,-0.7790178656578064,-0.16846245527267456,36.7160401,3.1842878,29.97,3.06,-3.04,-0.05,90,315,4.3229079246521,4.322586536407471
15,-0.3246117830276489,-2.0931928157806396,-0.1422654241323471,36.7160491,3.1842277,30.61,-1.9,-3.76,-0.7,90,240,4.2740159034729,4.216278553009033
16,-0.5030748248100281,-2.181814670562744,0.028911355882883072,36.7160042,3.1841458,32.15,-4.34,-6.18,-1.29,89,235,7.667855739593506,7.557194232940674
17,-0.4333644211292267,-2.164905309677124,-0.006000824272632599,36.7159241,3.1840027,34.82,-5.45,-7.91,-1.61,89,235,9.746844291687012,9.61280345916748
18,-0.48433858156204224,-2.1654012203216553,-0.017819004133343697,36.7158492,3.183866,37.31,-5.52,-8.15,-1.56,88,235,9.976237297058105,9.852094650268555
19,-0.43375420570373535,-2.1638023853302,0.027049290016293526,36.7157616,3.1837034,40.17,-5.55,-8.24,-1.59,88,236,10.070281028747559,9.943617820739746
20,-0.4336163401603699,-2.1652626991271973,-0.023055745288729668,36.7156864,3.1835639,42.64,-5.54,-8.25,-1.59,87,235,10.072135925292969,9.944722175598145
21,-0.4854436218738556,-2.1624388694763184,-0.02991226129233837,36.7156118,3.1834249,45.13,-5.51,-8.25,-1.59,87,236,10.053247451782227,9.925694465637207
22,-0.4311054050922394,-2.163700819015503,0.015258261933922768,36.7155245,3.183262,48.04,-5.52,-8.3,-1.61,87,236,10.101980209350586,9.972121238708496
23,-0.45191919803619385,-2.1641130447387695,-0.03152959421277046,36.7154497,3.1831218,50.53,-5.5,-8.28,-1.62,86,236,10.080071449279785,9.948165893554688
24,-0.46317145228385925,-2.1662204265594482,0.04026640206575394,36.7153626,3.1829596,53.45,-5.52,-8.29,-1.62,86,235,10.093531608581543,9.962077140808105
25,-0.4234895408153534,-2.162868022918701,0.0009193476289510727,36.7152879,3.1828195,55.95,-5.49,-8.32,-1.62,85,236,10.10953140258789,9.977293014526367
26,-0.462711900472641,-2.1626784801483154,-0.034227628260850906,36.7152131,3.1826792,58.45,-5.51,-8.27,-1.63,85,236,10.083576202392578,9.95038890838623
27,-0.43974873423576355,-2.1651034355163574,0.04148980975151062,36.7151257,3.1825164,61.37,-5.5,-8.28,-1.63,84,235,10.077966690063477,9.943737030029297
28,-0.43342769145965576,-2.1645240783691406,-0.012069104239344597,36.7150514,3.1823771,63.88,-5.52,-8.33,-1.63,84,235,10.131414413452148,9.999168395996094
29,-0.33189263939857483,-2.1670210361480713,0.024486785754561424,36.7149655,3.1822169,66.75,-5.09,-7.56,-1.51,83,235,9.243427276611328,9.118841171264648
30,-0.045612409710884094,-2.165982723236084,0.018252504989504814,36.714906,3.1821068,68.72,-3.51,-5.26,-0.96,83,235,6.4063615798950195,6.3340163230896
31,-0.1420595496892929,-2.1317617893218994,0.015558555722236633,36.714868,3.1820331,69.67,-2.27,-3.75,-0.32,83,237,4.399791240692139,4.387512683868408
32,-0.13345979154109955,-2.0876548290252686,-0.016044016927480698,36.7148349,3.1819609,69.88,-2.01,-3.69,-0.01,82,240,4.2092084884643555,4.209177017211914
33,-0.09626639634370804,-2.0877156257629395,0.023013044148683548,36.714808,3.1818996,69.87,-1.92,-3.52,-0.03,82,240,4.017958641052246,4.017794132232666
34,0.022853273898363113,-2.2037134170532227,-0.0706043615937233,36.7147831,3.1818463,69.44,-1.23,-1.77,0.75,82,233,2.2949323654174805,2.1686296463012695
35,0.009634483605623245,-2.482455015182495,0.010812916792929173,36.7147674,3.1818258,67.47,-1.05,-0.83,1.49,81,217,2.008098602294922,1.3433109521865845
36,-0.04926615208387375,-2.469825267791748,-0.018898990005254745,36.7147534,3.1818128,65.2,-1.03,-0.82,1.41,81,218,1.9384593963623047,1.3219205141067505
37,-0.011268731206655502,-2.4704394340515137,-0.004937906749546528,36.7147368,3.1817968,62.58,-1.06,-0.86,1.42,80,218,1.9805998802185059,1.3732019662857056
38,-0.06444153934717178,-2.469897985458374,0.004783258773386478,36.7147224,3.1817823,60.34,-1.07,-0.88,1.43,80,218,1.9996118545532227,1.390990138053894
39,-0.028456872329115868,-2.469688653945923,-0.025519883260130882,36.7147053,3.1817652,57.74,-1.06,-0.87,1.45,80,218,2.005429267883301,1.3833322525024414
40,-0.0326482318341732,-2.469867467880249,0.02622157707810402,36.7146908,3.1817505,55.49,-1.05,-0.87,1.45,79,218,2.002027750015259,1.3719685077667236
41,-0.031222842633724213,-2.470151901245117,-0.024969404563307762,36.7146763,3.181736,53.24,-1.08,-0.89,1.45,79,218,2.022549867630005,1.4012163877487183
42,-0.007585880812257528,-2.47013521194458,0.006762641482055187,36.7146592,3.1817188,50.63,-1.06,-0.88,1.47,79,218,2.023267984390259,1.3895069360733032
43,-0.05841410160064697,-2.4692840576171875,-0.014162142761051655,36.7146446,3.1817041,48.38,-1.06,-0.88,1.47,78,218,2.023871898651123,1.388657569885254
44,-0.02504563145339489,-2.470076322555542,-0.02229813113808632,36.7146276,3.181687,45.75,-1.07,-0.88,1.46,78,218,2.0255112648010254,1.3941855430603027
45,-0.05290493741631508,-2.47009539604187,0.024739636108279228,36.714613,3.1816722,43.51,-1.06,-0.89,1.47,78,218,2.0283825397491455,1.390987515449524
46,-0.055726855993270874,-2.470024824142456,-0.015494070947170258,36.714596,3.1816551,40.89,-1.06,-0.88,1.47,77,218,2.024090528488159,1.3850133419036865
47,-0.015047403052449226,-2.469663143157959,0.02196575328707695,36.7145814,3.1816404,38.63,-1.06,-0.87,1.46,77,218,2.014218330383301,1.377280831336975
48,-0.05188668519258499,-2.469661235809326,-0.017663665115833282,36.7145668,3.1816257,36.38,-1.06,-0.88,1.47,76,218,2.0240638256073,1.3912228345870972
49,-0.01389486063271761,-2.4698073863983154,-0.014758328907191753,36.7145498,3.1816085,33.76,-1.06,-0.87,1.47,76,218,2.0215001106262207,1.3785403966903687
50,-0.09610386937856674,-2.6501235961914062,-0.0593019463121891,36.7145345,3.1815942,31.51,-1.35,-0.72,1.43,76,208,2.103402853012085,1.5348180532455444
51,-0.26097068190574646,2.696425676345825,-0.0708429291844368,36.7145015,3.1815966,29.9,-3.04,1.26,0.16,75,154,3.304745674133301,3.3008670806884766
52,-0.1817869246006012,2.679476261138916,0.02200305089354515,36.7144519,3.1816261,29.96,-4.03,2.0,-0.05,75,153,4.506592273712158,4.50619649887085
53,-0.08113759011030197,2.7355713844299316,0.057885706424713135,36.714397,3.1816594,29.96,-3.89,1.62,0.07,75,156,4.220305442810059,4.21969747543335
54,-0.2447742223739624,-2.4781250953674316,0.23085807263851166,36.7143425,3.1816613,29.91,-2.94,-2.07,0.03,74,218,3.6029930114746094,3.602858781814575
