timestamp,pitch,yaw,roll,lat,lon,alt,velocity_x,velocity_y,velocity_z,battery,heading,airspeed,groundspeed
0,-0.02440485544502735,0.025020403787493706,0.011530393734574318,36.7156066,3.1846299,17.55,-0.01,0.02,-0.01,96,1,0.03300856798887253,0.03014056757092476
1,-0.03359910845756531,0.022193189710378647,0.08114294707775116,36.7156076,3.1846319,17.61,0.29,0.48,-0.01,95,1,0.5674611926078796,0.5671446919441223
2,-0.15946123003959656,1.4594169855117798,-0.08870480954647064,36.7156222,3.18466,17.56,1.65,2.53,-0.02,95,83,3.029510736465454,3.0294106006622314
3,-0.16755467653274536,0.9098348021507263,0.012640382163226604,36.7156495,3.1847115,17.6,2.18,3.32,-0.03,95,52,3.980407476425171,3.980293035507202
4,0.11587805300951004,0.9754131436347961,-0.03428637608885765,36.7156825,3.1847727,17.61,1.62,2.41,0.0,94,55,2.909160614013672,2.909156084060669
5,0.3308403491973877,1.1544796228408813,0.1007995754480362,36.7156888,3.1847835,17.6,-0.99,-1.43,0.0,94,66,1.7425717115402222,1.7425698041915894
6,-0.06481312215328217,2.948025941848755,0.12918396294116974,36.715665,3.1847405,17.64,-2.23,-3.17,-0.01,93,168,3.881613254547119,3.8815629482269287
7,-0.06615005433559418,-1.9080393314361572,0.0339430533349514,36.7156301,3.1846752,17.62,-2.0,-3.23,0.0,93,250,3.8062875270843506,3.806283712387085
8,-0.12227468192577362,-1.3889145851135254,0.26746702194213867,36.7156173,3.1846229,17.61,0.5,-2.83,0.0,93,280,2.8767733573913574,2.8767640590667725
9,-0.4475537836551666,-0.6417964696884155,0.017788436263799667,36.7156601,3.1845645,17.61,4.8,-3.46,0.0,92,323,5.922098159790039,5.922097682952881
10,-0.5266402363777161,-0.6290237903594971,0.047234371304512024,36.7157416,3.1844932,17.61,7.08,-4.9,-0.01,92,323,8.615944862365723,8.615938186645508
11,-0.45874059200286865,-0.6185315847396851,-0.0028248843736946583,36.7158446,3.1844041,17.63,7.85,-5.5,-0.01,91,324,9.592669486999512,9.592660903930664
12,-0.3649127781391144,-0.6234721541404724,0.007970611564815044,36.7159671,3.1842957,17.66,7.28,-5.2,-0.02,91,324,8.95039176940918,8.950355529785156
13,0.0033781661186367273,-0.6338627338409424,-0.029123861342668533,36.7160526,3.1842198,17.67,4.98,-3.66,0.04,91,323,6.19085693359375,6.190710544586182
14,-0.12549227476119995,-1.4879227876663208,-0.255137175321579,36.7160966,3.1841588,17.9,0.19,-2.99,-0.37,90,274,3.0206284523010254,2.997067451477051
15,-0.3955456614494324,-2.1406967639923096,-0.07426320016384125,36.7160736,3.1840961,18.96,-3.32,-4.76,-1.01,90,237,5.901311874389648,5.813898086547852
16,-0.510387122631073,-2.162180185317993,0.002245508600026369,36.716015,3.1839937,20.91,-5.0,-7.14,-1.48,89,236,8.84677505493164,8.72148609161377
17,-0.4164283573627472,-2.162963628768921,0.02027764543890953,36.7159299,3.1838404,23.73,-5.5,-8.07,-1.6,89,236,9.906393051147461,9.774961471557617
18,-0.4635857939720154,-2.1644797325134277,-0.03351328521966934,36.7158549,3.1837026,26.19,-5.56,-8.23,-1.58,88,235,10.061848640441895,9.93620491027832
19,-0.47204238176345825,-2.164724826812744,0.04082026705145836,36.715767,3.1835398,29.07,-5.52,-8.25,-1.59,88,235,10.062960624694824,9.936491966247559
20,-0.42016512155532837,-2.1626193523406982,0.0030749605502933264,36.7156921,3.1833996,31.55,-5.49,-8.24,-1.6,88,236,10.035836219787598,9.906757354736328
21,-0.487449586391449,-2.1628692150115967,-0.00023728280211798847,36.7156052,3.1832372,34.44,-5.53,-8.23,-1.62,87,236,10.053458213806152,9.92154312133789
22,-0.45195746421813965,-2.1641573905944824,0.0335661806166172,36.7155302,3.1830978,36.94,-5.52,-8.29,-1.63,87,236,10.09766960144043,9.964820861816406
23,-0.4315855801105499,-2.1638646125793457,-0.0012829132610931993,36.7154557,3.1829584,39.45,-5.5,-8.29,-1.62,86,236,10.091569900512695,9.960147857666016
24,-0.4967941343784332,-2.162914514541626,0.011225965805351734,36.7153687,3.1827951,42.36,-5.5,-8.27,-1.63,86,236,10.07075023651123,9.937732696533203
25,-0.4442594349384308,-2.164936065673828,0.04041898623108864,36.7152937,3.182655,44.86,-5.55,-8.27,-1.64,85,235,10.09946060180664,9.964818954467773
26,-0.4279686510562897,-2.164761543273926,-0.012310516089200974,36.7152188,3.1825154,47.37,-5.52,-8.3,-1.63,85,235,10.112946510314941,9.979334831237793
